Group Cust No,Group Cust Name,Sold To CustNo,Sold To Name,Ship To No,Ship To Name,Ship To City,Ship To Region,Cluster,Ship To Country,Shipping Point,Shipping Point    Name,Loading Point,DeliveringPlant,DC Name,DP City,DP State
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50163681,RESTAURANT DEPOT #454 (SAGUANASH CH,CHICAGO,IL,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50005281,RESTAURANT DEPOT #142(GOOSE ISL CHI,CHICAGO,IL,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50076890,RESTAURANT DEPOT #451 (LOMBARD IL),LOMBARD,IL,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50090609,RESTAURANT DEPOT #430 (INDIANAPOLIS,INDIANAPOLIS,IN,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50173338,"RESTAURANT DEPOT #435 GRIFFITH, IN",GRIFFITH,IN,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50091997,RESTAURANT DEPOT #431 (LOUISVILLE K,LOUISVILLE,KY,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50165268,RESTAURANT DEPOT #463 (YPSILANTI MI,YPSILANTI,MI,Midwest Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50023448,RESTAURANT DEPOT #172 (DEARBORN MI),DEARBORN,MI,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50066611,RESTAURANT DEPOT #184 (TROY MI),TROY,MI,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50066839,RESTAURANT DEPOT #179 (ST LOUIS MO),ST LOUIS,MO,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50165826,"RESTAURANT DEPOT #434 (DAYTON, OH)",DAYTON,OH,Midwest Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50157193,RESTAURANT DEPOT #433 (AKRON OH),AKRON,OH,Midwest Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50021700,RESTAURANT DEPOT #164 (COLUMBUS OH),COLUMBUS,OH,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50017456,RESTAURANT DEPOT #159 (CLEVELAND OH,VALLEY VIEW,OH,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50067868,RESTAURANT DEPOT #183 (CINCINNATI O,CINCINNATI,OH,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50160473,RESTAURANT DEPOT #446 (MILWAUKEE WI,MILWAUKEE,WI,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50023073,RESTAURANT DEPOT #171 (ORANGE CT),ORANGE,CT,Northeast Cluster,US,1020,MDC Shipping Point 1020       ,BMW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50100610,RESTAURANT DEPOT #882 (HARTFORD CT),HARTFORD,CT,Northeast Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50162190,RESTAURANT DEPOT #820 (WATERBURY CT,WATERBURY,CT,Northeast Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50140365,RESTAURANT DEPOT #814 (ANDOVER MA),ANDOVER,MA,Northeast Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50161855,RESTAURANT DEPOT #815 (CHICOPEE MA),CHICOPEE,MA,Northeast Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50092698,RESTAURANT DEPOT #834 (EVERETT MA),EVERETT,MA,Northeast Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
